詞,usage,tier,act,現用片,來源,問題,建議,核心句
契約,10,poor,0.41,0483_契約_B.json,moe:vocabulary/05/0337,poor 偵測率低,需換源／重錄,
OK,10,severe,0.23,1507_OK.json,twtsl:1507,severe 整段抓不到手,需換源／重錄,
公車站,10,poor,0.48,2900_公車站_A.json,twtsl:2900,poor 偵測率低,需換源／重錄,
建設,10,severe,0.19,moe_05_0978.json,moe:vocabulary/05/0978,severe 整段抓不到手,需換源／重錄,
觀光,10,severe,0.23,moe_05_2139.json,moe:vocabulary/05/2139,severe 整段抓不到手,需換源／重錄,
畫臉譜,10,poor,0.57,moc_I3P2_L.json,moc:I3P2,poor 偵測率低,需換源／重錄,
交付,10,ok,0.99,twtsl2_交付.json,twtsl:rescan-2026-09,文法手語（偵測率沒問題，但不是自然手語）,需換源（自然手語片）,
修改,10,ok,0.82,twtsl2_修改.json,twtsl:rescan-2026-09,文法手語（偵測率沒問題，但不是自然手語）,需換源（自然手語片）,
老婆,10,poor,0.57,twtsl2_老婆.json,twtsl:rescan-2026-09,poor 偵測率低,需換源／重錄,
立刻,10,ok,0.63,twtsl2_立刻.json,twtsl:rescan-2026-09,文法手語（偵測率沒問題，但不是自然手語）,需換源（自然手語片）,
競爭,10,ok,1.0,twtsl2_競爭.json,twtsl:rescan-2026-09,文法手語（偵測率沒問題，但不是自然手語）,需換源（自然手語片）,
逛街,10,ok,0.73,twtsl2_逛街.json,twtsl:rescan-2026-09,文法手語（偵測率沒問題，但不是自然手語）,需換源（自然手語片）,
