word,usage,in_sentences,tier,why,act,jit,frames,recording,source,alias_of
好吃_B,20,,severe,severe 抓不到手,0.0,0.02187,87,0536_好吃_B.json,twtsl:536,
好吃_A,20,,severe,severe 抓不到手,0.0932,0.01766,118,0537_好吃_A.json,twtsl:537,
遲到_B,20,,severe,severe 抓不到手,0.1591,0.04212,88,1178_遲到_B.json,twtsl:1178,
男,20,,poor,poor 偵測率低,0.5114,0.01762,88,1269_先生.json,twtsl:1269,
胖_A,20,,severe,severe 抓不到手,0.0,0.02309,83,1483_肥_A.json,twtsl:1483,
胖_B,20,,poor,poor 偵測率低,0.4182,0.01717,55,1484_肥_B.json,twtsl:1484,
胖,20,,poor,poor 偵測率低,0.4182,0.01717,55,1484_肥_B.json,twtsl:1483,胖_A
紀錄_B,20,,severe,severe 抓不到手,0.0693,0.01865,101,1749_紀錄_B.json,twtsl:1749,
紀錄_A,20,,severe,severe 抓不到手,0.1346,0.02205,104,1750_紀錄_A.json,twtsl:1750,
車_A,19,,severe,severe 抓不到手,0.0072,0.01451,138,0306_車_A.json,twtsl:306,
車_A_N,19,,severe,severe 抓不到手,0.0072,0.01451,138,0306_車_A_N.json,twtsl:306,
