word,usage,in_sentences,tier,why,act,jit,frames,recording,source,alias_of
家_B,113,,poor,poor 偵測率低,0.3717,0.01748,113,1019_家_B.json,twtsl:1019,
身體,112,,ok,,0.8189,0.02875,62,desk0912_身體.json,desk0912:混合來源-2026-09-12,
身體_A,112,,poor,poor 偵測率低,0.3871,0.02875,62,0227_身體_A.json,twtsl:227,
身體_B,112,,poor,poor 偵測率低,0.4,0.02232,80,0228_身體_B.json,twtsl:228,
以後_A,112,,severe,severe 抓不到手,0.1111,0.0345,99,0855_以後_A.json,twtsl:855,
以後_B,112,,severe,severe 抓不到手,0.2872,0.02081,94,0856_以後_B.json,twtsl:856,
幫忙_N,106,,severe,severe 抓不到手,0.1809,0.01887,94,0987_幫_N.json,twtsl:987,
幫忙_S,106,,severe,severe 抓不到手,0.0316,0.02373,95,0988_幫_S.json,twtsl:988,
為什麼_A,104,,severe,severe 抓不到手,0.2923,0.01655,65,2547_為什麼_A.json,twtsl:2547,
為什麼,104,,ok,,0.9302,0.02864,19,desk0912_為什麼.json,desk0912:混合來源-2026-09-12,
上班_A,98,,severe,severe 抓不到手,0.2016,0.01742,124,0585_工作.json,twtsl:585,
上班_B,98,,severe,severe 抓不到手,0.2743,0.02057,113,2478_上班_B.json,twtsl:2478,
習慣_N,97,,poor,poor 偵測率低,0.3767,0.01842,146,0938_習慣_N.json,twtsl:938,
習慣_S,97,,severe,severe 抓不到手,0.0168,0.02435,119,0939_習慣_S.json,twtsl:939,
晚上,92,,ok,,0.8351,0.02012,119,desk0912_晚上.json,desk0912:混合來源-2026-09-12,
晚上_A,92,,severe,severe 抓不到手,0.2689,0.02012,119,0704_夜晚_A.json,twtsl:704,
晚上_B,92,,poor,poor 偵測率低,0.5682,0.03104,44,0705_夜晚_B.json,twtsl:705,
一起_A,91,,poor,poor 偵測率低,0.4141,0.0225,99,2248_一同.json,twtsl:2248,
一起_B,91,,poor,poor 偵測率低,0.589,0.01814,73,2249_一起_B.json,twtsl:2249,
幫_N,90,,severe,severe 抓不到手,0.1809,0.01887,94,0987_幫_N.json,twtsl:987,
幫_S,90,,severe,severe 抓不到手,0.0316,0.02373,95,0988_幫_S.json,twtsl:988,
坐車,90,,ok,,0.8235,0.00733,55,desk0912_坐車.json,desk0912:混合來源-2026-09-12,
如何_A,87,,poor,poor 偵測率低,0.3671,0.01807,79,1022_如何_A.json,twtsl:1022,
如何_B,87,,poor,poor 偵測率低,0.4257,0.01692,101,1024_如何_B.json,twtsl:1024,
不會_N,83,,severe,severe 抓不到手,0.0678,0.01974,118,2313_不會_N.json,twtsl:2313,
不會_S,83,,poor,poor 偵測率低,0.51,0.01972,100,2314_不會_S.json,twtsl:2314,
給_B,80,,poor,poor 偵測率低,0.3816,0.01974,76,0878_給_B.json,twtsl:878,
給_A,80,,severe,severe 抓不到手,0.0753,0.02015,93,2115_供應_A.json,twtsl:2115,
全部_A,78,,poor,poor 偵測率低,0.3333,0.02313,66,2451_全部_A.json,twtsl:2451,
全部_B,78,,poor,poor 偵測率低,0.5614,0.02777,57,2452_全部_B.json,twtsl:2452,
醫院_A,77,,severe,severe 抓不到手,0.0968,0.02409,93,1011_醫院_A.json,twtsl:1011,
醫院_B,77,,severe,severe 抓不到手,0.0476,0.02496,84,1012_醫院_B.json,twtsl:1012,
醫院_C,77,,severe,severe 抓不到手,0.0952,0.02732,84,1013_醫院_C.json,twtsl:1013,
早上_A,77,,severe,severe 抓不到手,0.1757,0.03039,74,1354_早上_A.json,twtsl:1354,
早上_B,77,,severe,severe 抓不到手,0.0301,0.02224,133,1353_清晨.json,twtsl:1353,
吃飯_A,73,,severe,severe 抓不到手,0.0098,0.01569,102,0649_吃飯_A.json,twtsl:649,
吃飯_B,73,,poor,poor 偵測率低,0.5,0.02161,80,0965_吃飯_B.json,twtsl:965,
聽說_A,72,,severe,severe 抓不到手,0.2987,0.02474,77,2241_聽說_A.json,twtsl:2241,
聽說_B,72,,poor,poor 偵測率低,0.5963,0.01873,109,2242_聽說_B.json,twtsl:2242,
等,69,,ok,,1.0,0.0181,116,desk0912_等.json,desk0912:混合來源-2026-09-12,
等_B,69,,poor,poor 偵測率低,0.4052,0.0181,116,0932_等_B.json,twtsl:932,
演講_N,69,,severe,severe 抓不到手,0.0,0.01612,111,2026_演講_N.json,twtsl:2026,
演講_S,69,,severe,severe 抓不到手,0.0,0.01618,112,2027_演講_S.json,twtsl:2027,
等_A,69,,severe,severe 抓不到手,0.0118,0.0231,85,2386_等_A.json,twtsl:2386,
服務_N,65,,severe,severe 抓不到手,0.042,0.01713,119,1883_服務_N.json,twtsl:1883,
服務,65,,ok,,0.8643,0.02595,85,desk0912_服務.json,desk0912:混合來源-2026-09-12,
服務_S,65,,poor,poor 偵測率低,0.4941,0.02595,85,1884_服務_S.json,twtsl:1884,
台南_B,65,,severe,severe 抓不到手,0.056,0.01865,125,2144_台南_B.json,twtsl:2144,
台南_A,65,,poor,poor 偵測率低,0.368,0.01707,125,2143_台南_A.json,twtsl:2143,
火車_N,59,,poor,poor 偵測率低,0.3259,0.0265,135,2273_火車_N.json,twtsl:2273,
火車_S,59,,severe,severe 抓不到手,0.021,0.02245,143,2274_火車_S.json,twtsl:2274,
發現_A,58,,severe,severe 抓不到手,0.0,0.03117,85,0566_看到.json,twtsl:566,
發現_B,58,,severe,severe 抓不到手,0.1379,0.0225,87,0567_發現_B.json,twtsl:567,
發現_C,58,,severe,severe 抓不到手,0.0364,0.02977,55,0568_發現_C.json,twtsl:568,
快_N,58,,poor,poor 偵測率低,0.3627,0.0169,102,0760_火速_N.json,twtsl:760,
快_S,58,,severe,severe 抓不到手,0.25,0.01357,104,0761_火速_S.json,twtsl:761,
負責_A,58,,severe,severe 抓不到手,0.1068,0.02205,103,1781_負責_A.json,twtsl:1781,
負責_B,58,,poor,poor 偵測率低,0.5326,0.02453,92,1782_負責_B.json,twtsl:1782,
爸爸,56,,ok,,0.8762,0.00845,15,desk0912_爸爸.json,signtube:手語天地-2026-09,
心_A,55,,severe,severe 抓不到手,0.0442,0.01721,113,0984_心_A.json,twtsl:984,
心_B,55,,poor,poor 偵測率低,0.4746,0.01786,118,0985_心_B.json,twtsl:985,
花蓮_N,54,,severe,severe 抓不到手,0.0,0.01706,137,1036_花蓮_N.json,twtsl:1036,
花蓮_S,54,,poor,poor 偵測率低,0.4538,0.01781,119,1037_花蓮_S.json,twtsl:1037,
雲林,54,,poor,poor 偵測率低,0.4688,0.05593,32,moc_G4D2P1.json,moc:G4D2P1,
不要,53,S29,ok,,0.9538,0.01566,104,desk0912_不要.json,desk0912:混合來源-2026-09-12,
不要_N,53,,poor,poor 偵測率低,0.3942,0.01566,104,0597_不要_N.json,twtsl:597,
