word,usage,main_tier,main_act,main_frames,main_recording,main_source,variants
容易,13,ok,1.0,59,moc_G4D7P5.json,moc:G4D7P5,容易_C:severe:0.1954 容易_A:severe:0.0 容易_B:poor:0.301
油,13,ok,0.85,120,twtsl2_油.json,twtsl:rescan-2026-09,油_N:severe:0.0 油_S:severe:0.0286
睡,13,ok,1.0,43,moc_G1C26_R.json,moc:corpus-gapfill,睡_A:severe:0.0 睡_B:severe:0.0957 睡_C:severe:0.0
尷尬,13,ok,1.0,84,moc_G1D16P2.json,moc:G1D16P2,
看起來,13,ok,0.9841,63,moc_G1D13P1.json,moc:G1D13P1,
接著,13,ok,0.9286,42,moc_G1D4P2.json,moc:G1D4P2,
代表,13,ok,0.9242,66,moc_G1D4P2.json,moc:G1D4P2,
遠,13,ok,1.0,68,moc_G1D7P2.json,moc:G1D7P2,
APP,13,ok,0.925,40,moc_G2D11P2.json,moc:G2D11P2,
聽力,13,ok,1.0,87,moc_G2D1P1.json,moc:G2D1P1,
比如,13,ok,0.9885,87,moc_G2D7P2.json,moc:G2D7P2,
輕,13,ok,1.0,31,moc_G2D2P3.json,moc:G2D2P3,
翻譯員,13,ok,0.9444,36,moc_G2D3P2.json,moc:G2D3P2,
掛號,13,ok,0.8837,43,moc_G2D5P1.json,moc:G2D5P1,
汽車,13,ok,1.0,38,moc_G3D3P2.json,moc:G3D3P2,
放入,13,ok,0.7571,70,moc_G3D4P3.json,moc:G3D4P3,
讓,13,ok,0.9394,33,moc_G3D6P2.json,moc:G3D6P2,
任何事物,13,ok,1.0,33,moc_G3D2P2.json,moc:G3D2P2,
安靜,13,ok,0.7385,65,moc_G3D2P3.json,moc:G3D2P3,
表演,13,ok,1.0,15,moc_G4D11P1.json,moc:G4D11P1,
大開眼界,13,ok,0.75,24,moc_G4D11P2.json,moc:G4D11P2,
房間,13,ok,0.6078,51,moc_G4D11P2.json,moc:G4D11P2,
三十,13,ok,0.8571,14,moc_G4D11P3.json,moc:G4D11P3,
高三,13,ok,1.0,31,moc_G4D12P1.json,moc:G4D12P1,
親戚,13,ok,1.0,32,moc_G4D1P3.json,moc:G4D1P3,
交流,13,ok,0.8367,49,moc_G4D8P1.json,moc:G4D8P1,
口語,13,ok,0.9286,28,moc_G4D8P3.json,moc:G4D8P3,
面對面,13,ok,1.0,35,moc_G4D8P3.json,moc:G4D8P3,
第四,13,ok,0.9778,45,moc_G4D6P2.json,moc:G4D6P2,
笑,13,ok,1.0,26,moc_G4D3P2.json,moc:G4D3P2,
只有,13,ok,1.0,17,moc_G4D4P2.json,moc:G4D4P2,
髒,13,ok,1.0,34,moc_G4D5P1.json,moc:G4D5P1,
放,13,ok,0.9605,76,moc_G4D5P1.json,moc:G4D5P1,
一竅不通,13,ok,0.75,28,moc_G4D9P2.json,moc:G4D9P2,
聾人文化,13,ok,0.8689,61,moc_I5P2_L.json,moc:I5P2,
行政,13,ok,0.8287,251,signtube_行政.json,signtube:手語天地-2026-09,
今年,13,ok,0.8165,109,twtsl2_今年.json,twtsl:rescan-2026-09,
埃及,13,ok,0.9539,282,twtsl2_埃及.json,twtsl:rescan-2026-09,
洗衣機,13,ok,1.0,101,twtsl2_洗衣機.json,twtsl:rescan-2026-09,
車子,13,ok,0.8319,113,twtsl2_車子.json,twtsl:rescan-2026-09,
關係,13,ok,0.9926,135,twtsl2_關係.json,twtsl:rescan-2026-09,
洗澡,12,ok,0.8333,18,moc_G4D6P4.json,moc:G4D6P4,洗澡_A:severe:0.0526 洗澡_B:poor:0.4125
