鍵,檔名,決定,理由,現用片,現用act,現用指節抖動°,現用手掌px,現用播放秒,新片act,新片指節抖動°,新片手掌px,新片播放秒,新片寫入區段
早安,早安.mp4,換新片,使用者指定（原判 act -0.08 維持是誤判：「早」段閒置手被算成沒抓到；只算舉起時兩支都 0.98–1.00，新片指節抖動 7.3°<8.1°、手掌 133>56px）,desk0914b_早安.json,0.6479,8.1,56.0,3.517,0.5724,7.25,133.0,2.502,1.384-4.286
明天,明天.mp4,換新片,平手，指節抖動 5.6°→2.7°,moc_G2D3P2.json,1.0,5.62,87.2,0.56,1.0,2.66,197.4,2.285,1.084-3.719
星期幾,星期幾.mp4,換新片,平手，抖動相近，手掌 70→165px,gs0911_星期幾.json,0.9815,9.23,70.1,1.733,1.0,9.87,164.7,1.167,1.401-3.535
晚安,晚安.mp4,換新片,平手，指節抖動 9.7°→5.6°,slw_晚安.json,0.9916,9.72,59.1,1.952,0.9931,5.57,180.6,2.368,0.867-3.601
桃園,桃園.mp4,換新片,平手，指節抖動 3.1°→2.1°,gs0911_桃園.json,0.9714,3.07,77.8,2.266,1.0,2.13,171.5,2.635,1.284-4.319
水,水.mp4,換新片,平手，指節抖動 13.2°→9.1°,twtsl2_水.json,1.0,13.22,120.1,1.522,1.0,9.05,73.7,1.484,2.468-4.336
淡水,淡水.mp4,換新片,平手，抖動相近，手掌 86→164px,twtsl2_淡水.json,1.0,9.29,85.9,1.898,1.0,9.13,163.7,1.984,1.634-4.302
今天,現在:今天.mp4,換新片,act +0.17,gs0911_今天.json,0.7826,6.76,55.7,0.7,0.9535,8.83,123.2,1.401,1.351-3.318
現在,現在:今天.mp4,換新片,act +0.17,gs0911_今天.json,0.7826,6.76,55.7,0.7,0.9535,8.83,123.2,1.401,1.351-3.318
看醫生,看醫生.mp4,換新片,平手，指節抖動 5.2°→2.8°,gs0911_看醫生.json,0.9767,5.18,85.7,1.367,1.0,2.79,171.3,1.701,1.834-3.985
